title,release.name,artist.name,terms,year
Freeze,Pink Crustaceans and  Good Vibrations,Pepper,reggae,2008
Alli Mia Fora,Trexe,Peggy Zina,modern laika,0
Lydia [Piano Version],F.I.R.,FIR,,0
Dress Me Up,Vibe Central - The Essential Remixes,Eric Champion,ccm,1996
Wo bleibt die Mark?,Rares fA1/4r Bares 2004,Zeltinger Band,german pop,0
Love Thing,Live Up  & Close,Bebe Winans,ccm,2002
Bean Fields (Live) (2001 Digital Remaster),A Brief History,Penguin CafA(c) Orchestra,chamber jazz,2001
Sambangole / Tres Golpes Na' Mas,Voodoo Love Inna Champeta Land,Colombiafrica - The Mystic Orchestra,soukous,2007
Naked In The Rain (Album Version),Blood Sugar Sex Magik,Red Hot Chili Peppers,rap rock,1991
Who Are You?,Foreign Objects,The Kitchen,broken beat,0
There Are Things I Think You Should Know,Aux,Statues,power pop,0
The One I Got,Long Time Coming,Jonny Lang,blues-rock,2003
Shake,Purple Haze,Cam'Ron / JR Writer,hip hop,2004
Triesteitaliana,The Blue,Novembre,doom metal,2007
Thug Queen,The Unforgiven_ V.2: Assisted Suicide,X-Raided,gangster rap,0
Give Your Love To Me,Tell The People,Cornell Campbell,roots reggae,0
Tides Of Time,Live From The American Ballroom,Donna The Buffalo,zydeco,1999
So What!,Alive In Europe!,Tesla,hard rock,2008
Kleina Wixa,Wenn hier einer schieAt_ dann bin ich das,AI-TIEM,jungle music,1993
Down On The Farm (2006 Remastered Edit Version),The Best Of Little Feat,Little Feat,blues-rock,2006
Two Track Dub (Dub / Instrumental Reggae Music),Dub Catalogue,Mikey Dread,roots reggae,1982
Distancia,ColecciA3n Diamante: Alberto Cortez,Alberto Cortez,chanson,1989
Papel Quemado,En Vivo,Conjunto Mar Azul,charanga,0
Romantic Rights,You're A Woman_ I'm A Machine,Death From Above 1979,indie rock,2004
If Ever,The Pretender,Foo Fighters,grunge,2007
Left To Starve,10 Years Of Abuse And Still Broke,Eyehategod,doom metal,1992
Lekeitio,Mestijaia,Mal De Ojo,grindcore,0
The Wedding Samba,Doin' The Salsa - The Very Best Of Edmundo Ross,Edmundo Ros,samba,0
Stairs To the Attic,In the Attic of the Universe,The Antlers,chamber pop,2007
Prelude And Fugue In C Major BWV 545 : Prelude,Bach: Organ Works Vol.2,Lionel Rogg,early music,0
The Love We Had Version,Magic,Jimmy Riley,roots reggae,0
Vortex,Titus - Original Motion Picture Soundtrack,Elliot Goldenthal,instrumental rock,2000
Uncle Interlude,TheBurbsLife,John Brown,hard trance,0
Mon coeur s'ouvre A  ta voix,Ultimate Classical Chill Out,Marilyn Horne / Wiener Opernorchester / Henry Lewis,opera,0
The Dynamo Of Volition [From An All Night Session],We Sing.  We Dance.  We Steal Things.,Jason Mraz,alternative rock,0
Gold Und Silber,Ausland,Pyrolator,hard trance,0
Triumph / Timour The Tartar / The Left Handed Fiddler / Speed The Plough / De'il Among The Tailors,The Strathspey King,James Scott Skinner,hard house,0
Guidum,Guidum,Abraham Laboriel,jazz,1995
Cavasamba Um (Edit),O Tempo Do Samba,Grupo Batuque,future jazz,2005
All Kind of People,Rewind Selecta: Up Tempo Collection Volume 3,Sugar Minott,roots reggae,0
Hole In The Pumpkin,Shocking Out,Ini Kamoze,dancehall,0
Between Me & You Kid (Album Version),Five Dollar Bob's Mock Cooter Stew,Mudhoney,grunge,1993
The One I've Been Waiting For (Diamond Days Album Version),The Early Years,Out Of The Grey,ccm,0
Untitled,An Anthology of Chinese Experimental Music 1992-2008,Dino,ccm,0
Una na na,7 Latidos,OV7,ballad,2001
Can't Break This Man,What You Thought You Heard,Borialis,rap rock,0
The Ambush,You And Me,Open Hand,post-grunge,2004
Play That Beat,Built From Scratch,X-ecutioners,turnablism,2001
Bertie's Pets (Bonus Material),Gift Grub 10 (Deluxe Edition),Mario Rosenstock,irish,0
Marilyn,Lauluja rakastamisen vaikeudesta,Juice Leskinen,german pop,1994
Bladecrash Electrocution,Knowledge Zombie,Pumpkin Buzzard,happy hardcore,0
Come Here Feat. Jay Sean,The Project,Rishi Rich,bhangra,2006
Through The Wire,Through The Wire,Kanye West,hip hop,2003
She's My Marijuana (LP Version),The Katies,The Katies,power pop,0
El Aranero,Coleccion Estelar de Sabor Cumbia,Los Hispanos,cumbia,0
Mash Up Mi Life,Niney Presents: No Hiding Place!,Sugar Minott,roots reggae,0
Old Friends,The City,Paul Brown,smooth jazz,2005
South Side Story,The Hunger For More,Lloyd Banks,gangster rap,2004
In His Presence (LP Version),Marvin Sapp,Marvin Sapp,gospel,0
Space Between Us (Album Version),Sister Hazel,Sister Hazel,post-grunge,1994
Drifting Away,Rise Up,Mighty Diamonds,roots reggae,0
Position,Reggae Gold 1993,Terror Fabulous,dancehall,1995
Beyond Forever (2004 Digital Remaster),Coming Through,Eddie Henderson,jazz funk,0
Raga Anandi Kalyan (Alap_ jor and jhala),Illuminations,Kartik Seshadri,roots reggae,0
Tetrispack,Hello Mom!,Modeselektor,techno,2005
Nice 'N' Easy,Feel Like Going Home: The Essential Charlie Rich,Charlie Rich,rockabilly,1997
Darby's Castle,Broken Freedom Song: Live From San Francisco,Kris Kristofferson,western swing,1970
Doing Time (Album Version),How Could Hell Be Any Worse?,Bad Religion,hardcore punk,1982
Phase (1972),Les IdA(c)es Fixes,SaarbrA1/4cken Radio Symphony Orchestra,symphony,0
Night Train (Album Version),Easy Does It,Jackie Davis,soul jazz,0
Sunny Came Home,Live,Shawn Colvin,country rock,1996
Short On Ideas / One Last Cigarette,Pezcore,Less Than Jake,ska punk,2002
Got It Twisted,Amerikaz Nightmare,Mobb Deep,gangster rap,2004
Liverpoolin pokia,Dirly dirly dee,Irwin Goodman,german pop,1985
Stand,David Y Goliath,Pedro Aznar,chanson,1995
Caroline,Jewel Lake,Bill Douglas,chamber jazz,0
Have Thine Own Way Lord,The Best of Marty Robbins,Marty Robbins,country rock,0
I'm The Man (Explicit) (Feat. Jeru The Damaja And Lil Dap),Daily Operation,Gang Starr Featuring Jeru The Damaja And Lil Dap,jazz rap,1992
The Door,Baby Why,Lenn Hammond,lovers rock,0
Don't Wanna Be Here (Album Version),Grand World,Cool For August,alternative rock,1997
CNN War Theme,Monolithic baby!,Monster Magnet,stoner metal,2004
Now We Know,The Serious Reggae Album Vol 2 Prt 2,Sugar Minott,roots reggae,2007
Heart-Shaped Box,From The Muddy Banks Of The Wishkah,Nirvana,grunge,0
Girls Make My Hair Loose,Sound Networks EP,Unison,hard trance,0
Spaced Invader (Ian Pooley Club Mix),Spaced Invader,Hatiras & Slarta John,tech house,2000
Down At The Old Corral (Album Version),Wind In The Wire,Randy Travis,country gospel,1993
Tudo Que VocAa Quiser,Ao Vivo,JosA(c) Augusto;Catia Guimma,latin pop,0
Tien An Man Dream Again,Flyin' The Flannel,fIREHOSE,alternative rock,1991
Nasty Little Lonely,Live 1978,Alternative TV,experimental rock,1978
Tell Me Partner,Bloomfield-A Retrospective,Mike Bloomfield,blues-rock,0
Ma GarASSonniA(c)re,RA(c)chauffe L'hiver,Francky Vincent,zouk,0
Nonfiction,Amorica,The Black Crowes,blues-rock,1994
Money Make The World Go Around,T.O.S. (Terminate On Sight),G-Unit,rap,0
Never Be Ready,City Of Black & White,Mat Kearney,singer-songwriter,2009
CoquA,ClA!sicas De ClA!sico,Conjunto Clasico,salsa,0
Unlove Me,Julie Roberts,Julie Roberts,alternative country,2004
If I Know You,If I Know You,The Presets,dance rock,2008
Smoke Screen,Wicked Ways,Lily Holbrook,chill-out,0
Ouverture,Le Mepris,Georges Delerue,smooth jazz,0
Up To Zion (High Key-Premiere Performance Plus w/o Background Vocals),Up To Zion (Premiere Performance Plus Track),Ronnie Milsap,country rock,0
River Is Waiting,Rounder Records' 40th Anniversary Concert,Irma Thomas,delta blues,2008
Solid Gold (Evolution Mix) (2005 Digital Remaster),Le Funk,VHS Or Beta,disco,2002
Only One You,Devil in the bottle,T.G. Sheppard,country rock,2002
Little Edith,Doyle's Brunch,O'2L,orchestra,2005
Iron Man,First Band On The Moon,The Cardigans,twee pop,1996
Johnny Can't Dance,Live! At Grant Street,Clifton Chenier,zydeco,2001
Please Remember Me,B.B. King,B.B. King,blues-rock,0
Brazil Mon Amour,Lemon Soul,Zen Lemonade,progressive trance,2001
Honey,The Best Of Both Worlds,R. Kelly & Jay Z,gangster rap,0
Mad World (Money-G. Remix),Mad World,Jan Wayne,eurodance,0
Take Your Time feat. Yannick Noah,Black Magic,Jimmy Cliff,reggae,0
Innizar,Icarus,The Forms,indie rock,2003
Toccata Et Fugue En RA(c) Mineur BWV 565,Bach: Favorite Organ Works,Lionel Rogg,early music,0
Embraceable You (LP Version from 'When The Boys Meet The Girls'),Connie Francis In Hollywood,Connie Francis,brill building pop,0
Bass Pro Shop & Wal-Mart,The Best Of Blue Collar Comedy,Larry The Cable Guy,stand-up comedy,2009
Penny In My Pocket,Unearthed Merseybeat Volume 2,The Kirkbys,freakbeat,0
Nadine,Living In A Dream,Arc Angels,blues-rock,0
Maria De Santiago,Precious Little,Jeremy Spencer,blues-rock,2006
Marie's Wedding,Ain't It Grand Boys: Unissued Gems Of The Clancy Brothers With Tommy Makem,The Clancy Brothers,irish folk,0
I Love To Tell The Story  (Love To Tell The Story Album Version),Love To Tell Story-25 Hymns,Andy Griffith,comedy,0
L'ombre d'une chance,Les rA(c)alisateurs: Les plus belles musiques de films de Jean-Pierre Mocky,Eric Demarsan,smooth jazz,2005
Queen Ida Introduction,Nouveau Zydeco,Myrick "Freeze" Guillory,zydeco,0
Round Two Wrap-Up,The Showdown: The Sugarhill Gang Vs. Grandmaster Flash & The Furious Five,Ice-T & Chuck D,hip hop,0
Suicidal Dream,Frogstomp,Silverchair,post-grunge,1995
New York,Electrical Storm,U2,dance rock,2000
Do It All Over Again,Sweetlife,Sweet,glam rock,0
She Came Along To Me (LP Version),Mermaid Avenue,Billy Bragg & Wilco,urban folk,0
Extrication Love Song,Double Dose,Hot Tuna,blues-rock,1976
Skincree,Kin-Burst 9104,GAPtterdA$?mmerung,gothic rock,0
Dis moi,Miltape Vol.1,Mil,visual kei,0
Under World Dub,Dub Massacre Part 1 & Part 2,The Twinkle Brothers,roots reggae,0
Lil Stuntin,The Return Of O-Tumma,Tum Tum,dirty south rap,0
Diss Location,The Pain E.p.,Mr Dubz,dubstep,0
Did It Again (featuring Kid Cudi),Did It Again Feat. Kid Cudi,Shakira,dance pop,0
Persiana Americana (Live),Ruido Blanco,Soda Stereo,rock,1987
Recht auf Lungenkrebs,Hexenjagd,Die Bandbreite,hip pop,0
Pardesi Pind Wich Ageya,Pump Up The Bhangra,Pardesi,bhangra,0
Tra-La-La Musette,Tango Pour Madameon,Andre Verchuren,chanson,0
Zeigt her eure FA1/4Ae,Zeigt Her Eure FA1/4sse,Spieluhrmelodien,cumbia,0
Past Meets Present,In The Electric Mist,Marco Beltrami,soundtrack,0
Don't Bring Flowers,Don't Bring Flowers,Erik Hassle,pop rock,2009
KORITSU HOSPITAL,Goku Tama Rock Cafe,An Cafe,dance rock,0
Squarebiz,From the Corner To the Block,Galactic,jazz funk,2007
Narrative #1,If You Love These Blues_ Play'em As You Please,Michael Bloomfield,blues-rock,0
Someday (Immune Album Version),Immune,Soul Embraced,christian metal,0
Somebody's Brother (Somebody's Brother Album Version),Somebody's Brother,Scott Wesley Brown,modern rock,0
You Called It Madness [But I Call It Love] [Live At Royal Albert Hall],Live! At The Royal Albert Hall,Tiny Tim,cabaret,2000
Drugs,Circle Of Demons,At All Cost,post-hardcore,2007
Scientas,Boss Drum (album),Shamen,tech house,1992
The Painter And The Magician,The Road Home,William Coulter,celtic,0
Spanish Harlem,Phil Spector's Wall Of Sound Retrospective Phillies Sound 1961-1996,Phil Spector,all-female,0
Portrait Of Clare (from 'Portrait Of Clare'),Classic British Film Themes Of The 40's & 50's,Charles Williams And His Orchestra,latin jazz,0
The Hammer Song (2010 Digital Remaster),The Good Son (2010 Digital Remaster),Nick Cave & The Bad Seeds,rock,0
Broadway Star,Desperately,Barrabas,disco,0
You Need Hands (1993 Digital Remaster),The Great Rock 'N' Roll Swindle,Malcolm McLaren,electronic,0
All That You Need,Praise Him...Live!,The Brooklyn Tabernacle Choir,gospel,1995
Hope I'll Join That Band,Birmingham Jubilee Singers Vol. 2 (1927-1930),Birmingham Jubilee Singers,gospel,0
Conscience Ah Heng Dem (interlude),More Fire,Capleton,dancehall,2000
Sicilienne,Guitar Adagios,Steve Erquiaga,smooth jazz,0
Innocence,The Best Damn Thing,Avril Lavigne,teen pop,2007
Gimme Gimme Song,Some People,Mickey And The Students,protopunk,0
Severed (demo) (Album Version),Pass Out of Existence [Special Edition],Chimaira,groove metal,0
Abnormal (Acoustic),Barefoot - the acoustic ep,Bumblefoot,alternative metal,0
Redwing,Eveningland,Hem,folk-pop,2004
Nur eine Nacht mit Dir,Wahnsinn,Lara,visual kei,2009
Heal (The Separation) [H.E.L.P Breakbeat],Heal (The Separation),The Shamen,tech house,1996
Worrying Over You,Mums and Dads Reggae Favourites,Jackie Edwards,rock steady,0
Long Summer Days,Caught Live + 5,The Moody Blues,british invasion,1977
Winter Wonderland,Let's Make Christmas Every Day,Frankie Randall,easy listening,0
Luna de miel en Guama,Best Of Arturo Sandoval,Arturo Sandoval,latin jazz,1997
Heart Of Dixie,Welcome To My Land Of Love,Tommy Overstreet,country rock,0
Coven In Charing Cross,Witchcraft Destroys Minds & Reap Souls,Coven,country rock,0
Obsidian Sunrise,Obsidian Sunrise,Kzss & Atma,jungle music,0
Junco Partner,Rock'N Roll Gumbo,Professor Longhair,louisiana blues,1985
To Sinnefo,To Sinnefo,Stelios Dionisiou,greek,0
You Are The One,Love For All Seasons,J.C. Lodge,lovers rock,0
Raketen,Seelentaucher,Hubert Kah,europop,2005
Shut Your Eyes,Shut Your Eyes,Snow Patrol,indie rock,2006
Close To Me,Je Dis Aime,M,hard trance,0
Apertura in jazz,La legge dei gangsters,Piero Umiliani,jazz funk,1998
Maputo,Man From Kinshasa,Tabu Ley Rochereau,soukous,0
Be Healthy,Let's Get Free,Dead Prez,hip hop,2000
Mas Que Nada,Mas Que Nada - Full Phatt Remix,Sergio Mendes / Black Eyed Peas,samba,1985
Water-Liked,Wish,Janice Vidal,cantonese pop,0
Alma de B-Boy,Comunicaflow Underground,El Gran Silencio,cumbia,0
Jealous Again,Live at The On Broadway 1982,Black Flag,hardcore punk,1980
A Mon Avis,Bakolo Mboka,Les Bantous De La Capitale,congo,0
Energia,Selecao De Ouro,Sivuca,brazilian jazz,0
Verde Bosque,Fuego Gris,Luis Alberto Spinetta,rock 'n roll,1994
There Alone Go I,Moss,Moss,future jazz,0
Put You Back In The Jail,Blind Boy Fuller Vol. 3 1937,Blind Boy Fuller,country blues,0
The Girl From Ipanema (Garota De Ipanema),Jazz Express - Bossa Nova Nights,Paula Santoro,brazilian pop music,2006
Secrets,Secrets,Sunscreem,progressive house,1996
Autumn Leaves (1999 Digital Remaster),Wild_ Cool & Swingin',Louis Prima And Keely Smith,space age pop,0
She's Little And She's Low,I Got To Find Me A Woman,Robert Lockwood_ Jr.,delta blues,1998
Stockholm Syndrome,Absolution,Muse,art rock,0
No Consolation,Hold Me To It,Bob Margolin,blues-rock,0
Faith Healer (Digital Single),Faith Healer,The Gone Jackals,blues-rock,0
I Heard Her Call My Name,The Very Best Of The Velvet Underground,The Velvet Underground,experimental rock,1968
Scotch and Soda,The M.T.A.,Kingston Trio,folk-pop,0
T.V. & Movies,Am I Lying?!,D' Militante,stand-up comedy,0
Ying Guang Hu Die,Princess,Michelle & Vickie,chinese music,0
On ne meurt qu'une fois,L'Incontournable,Pamelo Mounk'a,congo,0
All My Loving,Gipsy Rumba 2,Los Fernandos,hip house,0
Therapie,Die besten Tage sind gezA$?hlt,Kool Savas,garage rock,0
Nu Sheng Wo Zui Da (OT:That Thrill),Rainie's Proclamation - Not Yet A Woman,Rainie Yang,chinese music,0
The Loco-Motion,The Loco-Motion,Little Eva,pop rock,1962
Chelsea Girl (Live),Silver Box,Simple Minds,new wave,2004
Show You How,Sawdust,The Killers,rock,2004
Jetstream - Arthur Baker Remix,Jetstream,New Order,alternative dance,2005
Child Of The Night,Out Here All Night,Damone,chill-out,2006
Old Hobo,Good Morning Judge,Furry Lewis,country blues,2003
I Just Need Your Lovin' - Original,Chris Farlowe Selected Hits,Chris Farlowe,blue-eyed soul,0
Here Comes Your Iceman (LP Version),Big Joe Rides Again,Joe Turner,jump blues,0
Moon Loop (Improvisation),The Sky Moves Sideways (Special Edition),Porcupine Tree,experimental rock,0
He Has Risen (Communication Album Version),Communication,DeGarmo & Key,ccm,0
Heidi,Black Satin Vol1,Frank Chacksfield,orchestra,0
Space Oddity (1997 Digital Remaster),The Best Of David Bowie 1969-74,David Bowie,dance rock,0
Fearless [Interlude] (Explicit Album Version),Uni5: The World's Enemy,Bone Thugs-N-Harmony,gangster rap,0
After The Fire,Rescue Dawn,Klaus Badelt,chill-out,2007
Tel Que Tu Es,5:55,Charlotte Gainsbourg,pop,2006
Lord Of The Thighs,Classics Live,Aerosmith,blues-rock,1974
Non Conformist Acclaimed,Treat Me Bad EP,Agnes,europop,0
El Ventilador,Party Fiesta_ Vol. 7,The Party Group,hip house,0
Skyswimmer,Let The Wind Blow High,Enter the Haggis,celtic rock,1999
If You Hang Around Long Enough,Down By The River,Mac McAnally,singer-songwriter,0
Hotta,Reggae Gold 2006,T.O.K.,dancehall,2006
Bari Bossa,Lounjazz,Leo Gandelman,brazilian jazz,2007
Jambalaya (On The Bayou),Hank Wilson's Back!,Leon Russell,blues-rock,0
The Gary Selchie - Solas,Emerald Aether: Shape Shifting/Reconstructions Of Irish Music,Bill Laswell,future jazz,0
La valse du mariage,Le passager de la pluie (Original Soundtrack),Francis Lai,space age pop,2003
Awakening of the Soulless,Herbst9 vs. Z'ev - Through Bleak Landscapes,Herbst9_ Z'ev,dark ambient,0
Mistadobalina,The Best Of Del Tha Funkee Homosapien [The Elektra Years]: The B-Boy Handbook,Del Tha Funkee Homosapien,hip hop,1991
Good Girl Gone Bad,Good Girl Gone Bad: The Remixes,Rihanna,dance pop,2007
Boys,Touch My Soul_ Vol. 23,Britney Spears feat. Pharrell Williams,dance pop,2001
Everytime,Everytime,Britney Spears,dance pop,2003
Dance_ Dance_ Dance  (Album Version),Scratchy: The Reprise Recordings [Includes Liner Notes],Crazy Horse,country rock,0
Signs Of Insanity,A Bizarre Gardening Accident,Headhunter,dubstep,0
Perdido (1999 Digital Remaster),Wild_ Cool & Swingin',Sam Butera & The Witnesses,easy listening,0
State Of The Union,Siren Song Of The Counter-Culture,Rise Against,hardcore punk,2004
A Little Bit Of This And A Little Bit Of That,Rio,Lee Ritenour / Jeff Mironov,instrumental pop,1976
Your Head,Born Annoying,Helmet,rapcore,1995
GA(c)raldine,Ah...c'qu'on est cons ! - EP,Dine et DA(c)on,french pop,0
Burma Train Change,Jamaica Farewell,Martin Denny,exotica,0
Buy You A Drink,Tha Remixes Vol. 11,DJ Nasty,bass music,0
With A Little Help From My Friends,The Anthology,Santana,blues-rock,0
A La Naturaleza,A La Naturaleza,Ray Sandoval,flamenco,0
Dimitroula,Dream Show The Music 1,Amalia Avgoustaki,greek,0
For Tomorrow (live),Ritual-Live,Shaman,progressive trance,0
Clap Ur Handz,Joyful Rebellion,K-OS,trip hop,2004
Requiem Mass_ K. 626_ 1791: Agnus Dei (Larghetto) (Mozart),Wolfgang Amadeus Mozart: Requiem Mass_ K 626_ 1791,Choir & Great Symphony Orchestra of the All-Union Radio_ N. Shpiller_ S. Krassovsky_ V. Gagarina & N,brutal death metal,0
Gotta Let It Go,Elva First,Elva Hsiao,j pop,0
Paint It Black,Out Of Time,Chris Farlowe,blue-eyed soul,1966
The Matter With You (Part I_ Ii_ Iii),Now It's Spring,Avril,trip hop,2000
Don't Owe Me Nothin',A Day In The Life,Sticky Fingaz & Omar Epps,hip hop,0
Lose Your Money,Voices Of Americana: Delbert McClinton,Delbert McClinton,blues-rock,2000
Diamonds Are A Girl's Best Friend,The Very Best Of,Gloria De Haven,easy listening,0
Say How I Feel,Say How I Feel,Rhian Benson,broken beat,2004
This Is My Country,This Is My Country,The Impressions,chicago soul,1968
Cold In Hands Blues,Essential Bessie Smith Vol 1,Bessie Smith,chicago blues,0
Miss X (LP Version),High Time,MC5,garage rock,1971
Imparable,Tarde O Temprano,Tommy Torres,reggaeton,0
Les Amours de Nathalie,PiA(c)denA(c)s,Les Malpolis,chanson,1998
Bucket's Got A Hole In It,Washboard Sam Vol. 3 (1938),Washboard Sam,delta blues,0
Angels We Have Heard On High (Album Version),Christmasing,Shirley Caesar,symphony,0
Welcome To My World (Live),Tammy Wynette - Live at the Rodeo!,Tammy Wynette,honky tonk,0
We Have All The Time In The World (Live),A-sides_ B-sides and Rarities,Fun Lovin' Criminals,blues-rock,0
Por La Calle Abajo,Grandes Axitos: Los Chunguitos,Los Chunguitos,flamenco,2000
Un Garcon Pas Comme Les Autres (Ziggy),Dion Chante Plamondon - Celine Dion Sings The Songs Of Luc Plamondon,CA(c)line Dion,soft rock,0
Happy Valentine's Day,Speakerboxxx/The Love Below,OutKast,dirty south rap,2003
Just A Closer Walk With Thee,Somebody Bigger Than You And I,Andy Griffith,comedy,0
The Sweetest Sounds,An Era Reborn,Helen O'Connell,vocal jazz,0
Second Hand Life,Second Hand Life: The Deluxe Edition,Joe Lynn Turner,hard rock,0
Cherry Pie,Cherry Pie,Warrant,hard rock,0
Hipster Haircut,Allt Ar Skit_ JA$?mt,IYOV,digital hardcore,0
Round and Round,White African,Otis Taylor,country blues,2001
Up All Night - Remix,The Choice EP,Laron aka Swan featuring Alexander East,ghetto tech,0
Werther (1997 Digital Remaster)_ PREMIER ACTE/ACT ONE/ERSTES AKT: Mon AC/me a reconnu votre AC/me(Werther/Charlotte),Massenet: Werther,Alfredo Kraus/Tatiana Troyanos/London Philharmonic Orchestra/Michel Plasson,opera,0
See That Girl,Gold,Righteous Brothers,blue-eyed soul,1965
Water Is Alright In Tay,IRISH DRINKING SONGS,The Clancy Brothers,irish folk,1993
Genuine,About Time,Five Fingers of Funk,funk metal,1998
A New Heart,From Conception to Birth: A Life Unfolds,Michael Whalen,meditation,2004
Wind In The Wire (Album Version),Wind In The Wire,Randy Travis,country gospel,1993
Where Do I Fit,Tonic,Tonic,post-grunge,0
Changed,Summer of a Thousand Years,The Grip Weeds,glam rock,0
Amores Cobardes,Con Los Pies En La Tierra,Andy & Lucas,flamenco,2008
Perca peso,Idem,MA3veis Coloniais de Acaju,samba,2005
Brown Girl,The Open Mind Of John D. Loudermilk,John D. Loudermilk,blues-rock,0
Mornin' Glory,The Best of Bobbie Gentry: The Capitol Years,Glen Campbell And Bobbie Gentry,country blues,1968
La Copa Grande,PAdemelo Todo,Pablo Montero,ranchera,0
Ojitos Dormilones,Tesoros De ColecciA3n,Jay PA(c)rez,tejano,0
The Son Of Hickory Holler's Tramp,The Best Of Kenny Rogers,Kenny Rogers,country rock,1977
Bad When U Broke,Real Talk,Dave Hollister,motown,0
My Funny Valentine,Trumpet Evolution,Arturo Sandoval,latin jazz,2003
Hit And Rape (Album Version),The Late_ Late Show,Wednesday 13's Frankenstein Drag Queens From Planet 13,horror punk,0
I'm In Love,Bestival presents Sunday Best Vol 2,Dub Pistols feat. Lindy Layton & Rodney P,big beat,0
Feel So Stupid (Table 9),Orphan,Darwin's Waiting Room,nu metal,2001
Les Chaudrons,La Vie D'Ici Bas,AndrA(c) Minvielle,jazz,2007
We Can't Win (Explicit),Doe Or Die,A.Z.,gangster rap,1995
Die Fledermaus - Operette in drei Akten/Silvester-Einlagen/Dein ist mein ganzes Herz (aus "Das Land des LA$?chelns"),J. Strauss: Die Fledermaus,Herbert Von Karajan,opera,0
Wahrheit,International,Hassan Annouri feat. Cassandra Steen,hip hop,0
El Barbero,Las Mejores Gaitas Vol.3,Gaiteros de Pillopo,gaita,0
Long Distance Relationship,Ladies' Choice,Paul Taylor / Terry Dexter,smooth jazz,0
Captain Fingers,OverTime,Lee Ritenour,instrumental pop,1977
So ist das nun mal,So ist das nun mal,Andreas Dorau,tech house,1997
Ready Now,Intromission,Bukue One,jungle music,0
Voodoo Chile,Voodoo Crossing A Tribute To Jimi Hendrix,Hiram Bullock,jazz funk,0
Rainbow Ride,Honest,Serpentine,new romantic,0
Scratchy (Takes 1-3 / bonus track),Scratchy: The Reprise Recordings [Includes Liner Notes],Crazy Horse,country rock,0
Grad,The Red Album,Baroness,sludge metal,2007
As You Take A  Walk Through My Mind,EMI Country Masters - 50 Originals,Slim Whitman,folk-pop,0
One Of Our Submarines,Premium Gold Collection,Thomas Dolby,pop rock,1982
WA-KA-BAM!! (INTRO),JTV,Justin,future jazz,0
Now_ Baby_ or Never,Barbara Lusch,Barbara Lusch,jazz,0
Le Petit Train (MixA(c) Par Mark Plati),Le Petit Train (Mixe Mark Plati),RaphaA<<l,chanson,0
Goodness & Mercy,Fatis Presents Ini Kamoze,Ini Kamoze,dancehall,0
Walking Dub,Ghetto-ology + Dub,Sugar Minott,roots reggae,0
Comin' Tonight,Comin' Tonight,Martha Wainwright,folk-pop,2008
Chitlins Con Carne,Blues At Sunrise,Stevie Ray Vaughan And Double Trouble,texas blues,1996
Motherless Children (Remastered Version) (Take 2),Trouble In Mind,Mance Lipscomb,texas blues,0
On The Other Hand (Remastered Album Version),Trail Of Memories:  The Randy Travis Anthology,Randy Travis,country gospel,0
El Te Daba Mala Vida,DA(c)jame Solo,Los Chichos,flamenco,1982
Palabras De Amor(En Vivo),La Portuaria En Vivo,La Portuaria,disco,0
Nothing To Lose,South Of Hell,Boondox,rap rock,2010
Juste Une Petite Fille,Differente,Maurane,chanson,1995
Let the People Dance,Count Talent and the Originals,Michael Bloomfield,blues-rock,0
Look Around featuring dead prez and Cheryl Pepsi Riley,A Musical Massacre (Explicit),Beatnuts featuring dead prez and Cheryl Pepsi Riley,grime,0
Angel,A Little South Of Sanity,Aerosmith,blues-rock,1987
Mi Son Maracaibo,The Best Of Rene Touzet (His Piano and  Orchestra),Rene Touzet,exotica,0
Don't Lose Control,One Down,Bill Laswell,future jazz,0
Little Woman,Jazz Gillum Vol. 2 1938-1941,Jazz Gillum,chicago blues,0
My Bulldog Blues,Sonny Terry & Brownie McGhee_ Vol. E (1938-1941),Sonny Terry & Brownie McGhee,piedmont blues,0
Love Can Break Your Heart (LP Version),Take It To Heart,Michael McDonald,ballad,0
Broad Daylight - The BBC Sessions [Top Gear 17/3/69],Free - Live At The BBC,Free,blues-rock,0
Shi Shang Zui Qiang Man Hua Wang Da Luan Dou,Shi Shang Zui Qiang Man Hua Wang Da Luan Dou,Leo Ku,cantonese pop,0
Rudolph The Red Nosed Reindeer,Let's Make Christmas Every Day,Frankie Randall,easy listening,0
Snowdrops,Little Man,The Pineapple Thief,neo-progressive,2006
Sweet Southern Comfort,Buddy Jewell,Buddy Jewell,bluegrass,2003
Luna De Octubre,Mis Boleros,Flor Silvestre,ranchera,0
Say Yeah,Kings of Zion Part III,Capleton,dancehall,2005
Hell Will Reign,Closer to God,Demonbreed,thrash core,0
The Ferocious O' Flahertys,The Road From Connemara,Joe Heaney,irish folk,0
Marea De Venus,Colores Santos,Cerati-Melero,electronica,0
I Want To Go Home,Mambo,Remmy Ongala,soukous,0
Century City Rag,L.A. Explosion,The Last,garage rock,1979
Life,Magic,Jimmy Riley,roots reggae,0
Rock Bottom,World Upside Down,House Of Lords,tech house,2006
Love Unlimited (Explicit),100% Colombian,Fun Lovin' Criminals,blues-rock,1998
Turbocharger,Turbocharger,Chaotica,industrial rock,0
America the Beautiful,Songs of the US Army,The Sun Harbor's Chorus-Documentary Recordings,patriotic,0
Hardly Wait,The Never Ending Why,Placebo,british pop,2009
